,Product Name,BigBasket Price,JioMart Price,DMart Price,MRP,Category,Sub Category,Big Basket Savings,JioMart Savings,DMart Savings,BigBasket Discount Percentage,JioMart Discount Percentage,DMart Discount Percentage
0,Brooke Bond Red Label Natural Care Tea 500 gm,285,280,275,330,Beverages,Tea,45,50,55,13,15,16
1,Brooke Bond Red Label Tea 250 gm,132,166,154,170,Beverages,Tea,38,4,16,22,2,9
2,Brooke Bond Red Label Natural Care Tea 1 kg,526,485,485,531,Beverages,Tea,5,46,46,0,8,8
3,Taj Mahal Tea 1 Kg,500,500,550,550,Beverages,Tea,50,50,0,9,9,0
4,Taj Mahal Tea 500 g,391,247,140,410,Beverages,Tea,19,163,270,4,39,65
5,Taj Mahal Tea 250 g,220,90,90,220,Beverages,Tea,0,130,130,0,59,59
6,Tata Tea Gold Tea 250 g,145,135,145,145,Beverages,Tea,0,10,0,0,6,0
7,Tata Tea Gold Tea 1 Kg,708,497,520,885,Beverages,Tea,177,388,365,20,43,41
8,Nescafe  Sunrise Instant Coffee - Chicory Mixture 50 g,84,84,99,145,Beverages,Coffee,61,61,46,42,42,31
9,"Nescafe  Sunrise Instant Coffee - Chicory Mix, Rich In Aroma & Flavour 100 g",190,190,274,285,Beverages,Coffee,95,95,11,33,33,3
10,"Nescafe  Sunrise Instant Coffee - Chicory Mix, Rich In Aroma & Flavour 200 g",350,350,373,885,Beverages,Coffee,535,535,512,60,60,57
11,Real Fruit Power Juice - Litchi 1 L,75,75,111,115,Beverages,Fruit juices,40,40,4,34,34,3
12,Tang Instant Drink Mix - Lemon 500 g,125,125,130,140,Beverages,Syrups & Concentrates,15,15,10,10,10,7
13,Tang Instant Drink Mix - Lemon 15.3 g,5,5,5,5,Beverages,Syrups & Concentrates,0,0,0,0,0,0
14,Raw Pressery Cold Extracted Juice - Pomegranate 3x250 ml,450,450,450,450,Beverages,Fruit juices,0,0,0,0,0,0
15,Paper Boat Aamras Mango Fruit Juice 1 L,221,250,276,390,Beverages,Fruit juices,169,140,114,43,35,29
16,Paper Boat Aamras Mango Fruit Juice 2x1 L,151,178,220,260,Beverages,Fruit juices,109,82,40,41,31,15
17,Paper Boat Aamras Juice 1 L,84,92,111,130,Beverages,Fruit juices,46,38,19,35,29,14
18,Raw Pressery 100% Natural Cold Pressed Juice - Grapefruit 4x250 ml,560,600,640,700,Beverages,Fruit juices,140,100,60,20,14,8
19,Raw Pressery Cold Extracted Juice - Grapefruit 2x1 L,665,710,720,950,Beverages,Fruit juices,285,240,230,30,25,24
20,Raw Pressery Cold Extracted Juice - Grapefruit 1 L,356,362,380,475,Beverages,Fruit juices,119,113,95,25,23,20
21,Raw Pressery Cold Extracted Juice - Grapefruit 250 ml,140,155,162,175,Beverages,Fruit juices,35,20,13,20,11,7
22,Raw Pressery Cold Pressed Juice - Grapefruit 2x250 ml,262,273,299,350,Beverages,Fruit juices,88,77,51,25,22,14
23,Raw Pressery Mango - 100% Natural Cold Pressed Juice 1 L,187,192,200,250,Beverages,Fruit juices,63,58,50,25,23,20
24,Raw Pressery 100% Natural Cold Pressed Juice - Mango 2x1 L,325,360,421,500,Beverages,Fruit juices,175,140,79,35,28,15
25,Kapiva Rakshan Green Tea - Supports Strong Immunity 40 g,219,233,242,399,Beverages,Tea,180,166,157,45,41,39
26,Kapiva Svastha Green Tea - Promotes Overall Well-Being 40 g,219,240,262,399,Beverages,Tea,180,159,137,45,39,34
27,"Slurrp Farm Magic Milk Mix - Berry Blast, High In Protein, Fibre & Iron, Sugar-Free 250 g",381,377,383,449,Beverages,Children (2-5 Yrs),68,72,66,15,16,14
28,"Teamonk Nilgiri Oolong Tea - Wa, May Help In Weight Management 2 g",420,560,575,700,Beverages,Tea,280,140,125,40,20,17
29,"Teamonk Nilgiri Oolong Tea - Wa, May Help In Managing Weight 2 g",765,820,989,1275,Beverages,Tea,510,455,286,40,35,22
30,"Teamonk Nilgiri Oolong Tea - Wa, May Help In Weight Management 100 g",300,235,243,500,Beverages,Tea,200,265,257,40,53,51
31,"Teamonk Darjeeling Green Tea Bags - Ahina Long Leaf, Helps To Detox 2 g",285,310,321,475,Beverages,Tea,190,165,154,40,34,32
32,"Teamonk Nilgiri Green Tea - Koge Jasmine, Helps To Feel Relaxed & Refreshed 50 g",255,260,269,425,Beverages,Tea,170,165,156,40,38,36
33,"Teamonk Nilgiri Green Tea - Seiki Peppermint, Helps To Feel Relaxed & Refreshed 2 g",255,230,266,425,Beverages,Tea,170,195,159,40,45,37
34,"Teamonk Nilgiri Green Tea - Taido Ginger, Easy To Digest 2 g",255,292,323,425,Beverages,Tea,170,133,102,40,31,24
35,Minute Maid  Vita Punch Mixed Fruit Drink - With Vitamin C To Help Boost Immunity 1 L,150,120,150,150,Beverages,Fruit juices,0,30,0,0,20,0
36,Tang Instant Drink Mix - Mango 500 g,105,120,132,140,Beverages,Syrups & Concentrates,35,20,8,25,14,5
37,"Slurrp Farm Millet Milk Mix Combo - Chocolate Swirl & Berry Blast, High Protein, No Maida, No Refined Sugar 40 g",158,160,173,198,Beverages,Kids,40,38,25,20,19,12
38,"Teamonk Nilgiris Green Tea - Yoshin Lemon, Helps To Feel Relaxed 50 g",255,270,254,425,Beverages,Tea,170,155,171,40,36,40
39,"Teamonk Nilgiris Green Tea - Kozan Spearmint, Helps To Feel Relaxed & Refreshed 2 g",450,480,525,750,Beverages,Tea,300,270,225,40,36,30
40,VAHDAM Golden Milk Powder With Curcumin - Organic Turmeric Moringa Latte Mix Superfood 100 g,299,320,333,399,Beverages,Tea,100,79,66,25,19,16
41,Continental Instant Coffee - Speciale 200 g,357,392,434,550,Beverages,Coffee,193,158,116,35,28,21
42,"Manna  Go Grains Multigrain Instant Drink Mix - For Growth & Immunity, Chocolate Flavour 200 g",90,110,129,129,Beverages,Kids,39,19,0,30,14,0
43,"Dabur Vedic Suraksha Green Tea - With Herbs, Boosts Immunity 150 g",679,679,679,679,Beverages,Tea,0,0,0,0,0,0
44,"Open Secret Nutty Shake Mix Healthy Drink - Kesar Badam, Rich In Fibre 225 g",349,349,349,349,Beverages,Kids,0,0,0,0,0,0
45,"Tang Instant Drink Mix - Orange, With 4 Popsicle Moulds 500 g",419,460,500,599,Beverages,Syrups & Concentrates,180,139,99,30,23,16
46,"Manna  Go Grains Multigrain Instant Drink Mix - For Growth & Immunity, Chocolate Flavour 400 g",174,190,220,249,Beverages,Kids,75,59,29,30,23,11
47,"Booch Non-Alcoholic Beverage - Low Calorie, Healthy Drink With L-Theanine 250 ml",60,90,111,120,Beverages,Non Alcoholic Drinks,60,30,9,50,25,7
48,Rasna Rasna insta-promo-pack-mixed-fruit 500 g 500 g,112,110,130,150,Beverages,Syrups & Concentrates,38,40,20,25,26,13
49,Teamonk Turmeric Green Tea - Provides Glowing Skin & Boosts Immunity 100 g,240,260,280,400,Beverages,Tea,160,140,120,40,35,30
50,Dabur Vedic Suraksha Green Tea 37.5 g,175,160,163,175,Beverages,Tea,0,15,12,0,8,6
51,VAHDAM Darjeeling Summer Second FlushBlack Tea 30 g,175,190,199,250,Beverages,Tea,75,60,51,30,24,20
52,VAHDAM Organic Sweet Himalayan Long Leaf Green Tea 30 g,168,190,199,225,Beverages,Tea,57,35,26,25,15,11
53,VAHDAM Organic Vanilla Spiced Long Leaf Chai 30 g,150,180,191,200,Beverages,Tea,50,20,9,25,10,4
54,VAHDAM Glow Assorted Loose Leaf Tea 20 g,1296,1002,1030,1995,Beverages,Tea,699,993,965,35,49,48
55,"Gulabs Sharbat - Paan, Syrup 500 ml",300,290,292,300,Beverages,Tea,0,10,8,0,3,2
56,"Sesa Ayurvedic Juice For Men - Hair & Vitality Booster, Improves Vigour, No Added Sugar 1 L",558,580,670,745,Beverages,Tea,187,165,75,25,22,10
57,VAHDAM Cocoa Matcha Green Tea Powder - 100% Pure Japanese Ground 50 g,454,470,520,699,Beverages,Tea,245,229,179,35,32,25
58,Teamonk Rooibos Herbal Tea - Helps To Detox The System 2 g,450,490,520,750,Beverages,Tea,300,260,230,40,34,30
59,Jawai Rajwadi Kadak Masala Chai/Tea - Immunity Booster 100 g,97,99,108,195,Beverages,Tea,98,96,87,50,49,44
60,Jawai Rajwadi Kadak Masala Chai/Tea - Immunity Booster 200 g,249,269,269,299,Beverages,Tea,50,30,30,16,10,10
61,Jawai Rajwadi Kadak Masala Chai/Tea - Immunity Booster 450 g,497,409,480,599,Beverages,Tea,102,190,119,17,31,19
62,VAHDAM Organic Himalayan Long Leaf Green Tea Bags - Slim Tea 30 g,168,179,174,225,Beverages,Tea,57,46,51,25,20,22
63,24 Mantra Organic Tulsi Ginger Herbal Infusion Tea Bag 37.5 g,170,170,170,170,Beverages,Tea,0,0,0,0,0,0
64,"Real Fruit Power Mixed Fruit Juice - Vitamin Boost, Refreshing Drink, No Preservatives 1 L",90,110,120,130,Beverages,Fruit juices,40,20,10,30,15,7
65,Leo Madras Blend Roast Ground 80 & 20 Coffee 200 g,70,87,75,94,Beverages,Coffee,24,7,19,25,7,20
66,Narasus Udhyam Filter Coffee Powder 100 g,44,47,45,51,Beverages,Coffee,7,4,6,13,7,11
67,Narasus Udhyam Filter Coffee Powder 200 g,88,94,90,102,Beverages,Coffee,14,8,12,13,7,11
68,Narasu's Udhyam Filter Coffee 500 g,219,237,225,255,Beverages,Coffee,36,18,30,14,7,11
69,Narasus Pure Instant Coffee Powder 100 g,155,176,160,190,Beverages,Coffee,35,14,30,18,7,15
70,Narasus Instant Pure Coffee 50 g,60,69,65,75,Beverages,Coffee,15,6,10,20,8,13
71,Narasus Strong Instant Coffee Powder 100 g,115,139,125,150,Beverages,Coffee,35,11,25,23,7,16
72,Narasus Instant Strong Coffee 50 g,50,60,55,65,Beverages,Coffee,15,5,10,23,7,15
73,Narasus Premium Bleand Filter Coffee 500 g,235,259,240,279,Beverages,Coffee,44,20,39,15,7,13
74,Narasus Premium Bleand Filter Coffee 200 g,92,104,99,112,Beverages,Coffee,20,8,13,17,7,11
75,Kaffe Instant Blend Instant Coffee Powder 50 g,55,60,58,90,Beverages,Coffee,35,30,32,38,33,35
76,Continental Xtra Coffee 50 g,52,57,55,115,Beverages,Coffee,63,58,60,54,50,52
77,Pristine Deccan Gold Filter Coffee 200 g,55,60,59,120,Beverages,Coffee,65,60,61,54,50,50
78,Nescafe Cappuccino Coffee Premix 125 g,127,139,129,150,Beverages,Coffee,23,11,21,15,7,14
79,Nescafe Classic Coffee 7.5 g,10,9,9,10,Beverages,Coffee,0,1,1,0,10,10
80,Fittify Lemongrass & Lavander Green Coffee Premix 30 g,250,221,259,260,Beverages,Coffee,10,39,1,3,15,0
81,Continental Speicale Instant Coffee 200 g,493,511,499,550,Beverages,Coffee,57,39,51,10,7,9
82,Continental Special Instant Coffee Powder 50 g,124,139,129,150,Beverages,Coffee,26,11,21,17,7,14
83,Fittfy Green Coffee Instant Mix 30 g,223,221,225,260,Beverages,Coffee,37,39,35,14,15,13
84,Fittify Ginger Basil Instant Green Coffee Premix 30 g,219,221,221,260,Beverages,Coffee,41,39,39,15,15,15
85,Fittify Green Coffee Instant Premix 30 g,214,221,221,260,Beverages,Coffee,46,39,39,17,15,15
86,Continental Xtra Instant Coffee Powder 200 g,428,427,430,460,Beverages,Coffee,32,33,30,6,7,6
87,Narasus Granulated Instant Coffee 500 g,50,69,55,75,Beverages,Coffee,25,6,20,33,8,26
88,Narasus Granulated Pure Instant Coffee 500 g,83,83,83,90,Beverages,Coffee,7,7,7,7,7,7
89,Maaza Mango Drink 600 ml,30,35,35,40,Beverages,Fruit juices,10,5,5,25,12,12
90,Maaza Refresh 150 ml (Pack of 10),75,85,79,100,Beverages,Fruit juices,25,15,21,25,15,21
91,Tropicana Litchi Delight Fruit Juice 1 L,72,73,71,110,Beverages,Fruit juices,38,37,39,34,33,35
92,Real Fruit Power Masala Guava Juice 1 L,90,90,84,105,Beverages,Fruit juices,15,15,21,14,14,20
93,Slice Mango Drink 1.2 L,39,44,41,60,Beverages,Fruit juices,21,16,19,35,26,31
94,Paperboat Aampanna 200 ml,22,27,25,30,Beverages,Fruit juices,8,3,5,26,10,16
95,Paperboat Jaljeera 200 ml,22,27,25,30,Beverages,Fruit juices,8,3,5,26,10,16
96,Paperboat Chilli Guava 200 ml,22,27,25,30,Beverages,Fruit juices,8,3,5,26,10,16
97,Maaza Refresh Mango Drink 150 ml,10,9,9,10,Beverages,Fruit juices,0,1,1,0,10,10
98,Appy Fizz 600 ml,26,30,29,33,Beverages,Fruit juices,7,3,4,21,9,12
99,Frooti Mango Drink 1.2 L,56,61,59,68,Beverages,Fruit juices,12,7,9,17,10,13
100,Alo Frut Berries + Aloe Vera Fruit Juice 1 L,86,90,89,110,Beverages,Fruit juices,24,20,21,21,18,19
101,Alo Frut Guava + Aloe Vera Fruit Juice 1 L,86,99,89,110,Beverages,Fruit juices,24,11,21,21,10,19
102,Alo Frut Guava + Aloevera Fruit Juice 300 ml,30,35,35,40,Beverages,Fruit juices,10,5,5,25,12,12
103,Alo Frut Kiwi + AloeVera Fruit Juice 1 L,80,99,85,110,Beverages,Fruit juices,30,11,25,27,10,22
104,Alo Frut Kiwi + AloeVera Fruit Juice 300 ml,30,35,35,40,Beverages,Fruit juices,10,5,5,25,12,12
105,Alo Frut Litch + Aloevera Fruit Juice 300 ml,30,35,35,40,Beverages,Fruit juices,10,5,5,25,12,12
106,Alo Frut Mixed Fruit + AloeVera Fruit Juice 300 ml,30,35,35,40,Beverages,Fruit juices,10,5,5,25,12,12
107,Paper Boat Swing Lush Litchi Juice 150 ml,9,9,9,10,Beverages,Fruit juices,1,1,1,10,10,10
108,Alo Frut Orange + Aloevera Fruit Juice 1 L,93,99,96,110,Beverages,Fruit juices,17,11,14,15,10,12
109,Ocean Spray Cranberry Juice 240 ml,71,74,73,80,Beverages,Fruit juices,9,6,7,11,7,8
110,Ocean Spray Cranberry Apple Juice 240 ml,71,74,73,80,Beverages,Fruit juices,9,6,7,11,7,8
111,Raw Pressery Aloe Lemonade 200 ml,50,54,54,60,Beverages,Fruit juices,10,6,6,16,10,10
112,Raw Pressery Life Fruit & Vegetable Blend Smoothie 250 ml,139,112,145,150,Beverages,Fruit juices,11,38,5,7,25,3
113,Raw Pressery Mango Juice 200 ml,52,54,54,60,Beverages,Fruit juices,8,6,6,13,10,10
114,Raw Pressery Cold Pressed Mixed Fruit Juice 1 L,194,150,199,200,Beverages,Fruit juices,6,50,1,3,25,0
115,Raw Pressery Mixed Fruit Juice 200 ml,48,54,54,60,Beverages,Fruit juices,12,6,6,20,10,10
116,Raw Pressery Orange Juice 250 ml,59,67,67,100,Beverages,Fruit juices,41,33,33,41,33,33
117,Kaffe Blended Instant Coffee 50 g (Buy 1 Get 1),85,85,85,85,Beverages,Coffee,0,0,0,0,0,0
118,Nescafe Classic Instant Coffee 100 g (Jar),274,274,274,295,Beverages,Coffee,21,21,21,7,7,7
